+------------------------------------------------+-----------+
|                      Word                      | Frequency |
+------------------------------------------------+-----------+
|           AboutPressCopyrightContact           |     1     |
| usCreatorAdvertiseDevelopersTermsPrivacyPolicy |     1     |
|                   SafetyHow                    |     1     |
|                    YouTube                     |     1     |
|                   worksTest                    |     1     |
|                      new                       |     1     |
|                    features                    |     1     |
|                      2023                      |    188    |
|                     Google                     |     1     |
|                      LLC                       |     1     |
|          SSC_CGL_AGE_RECKONING_1_JAN           |     38    |
|                     Trends                     |     3     |
|                    Twitter                     |     37    |
|                   Aspirants                    |     11    |
|                     Urges                      |     7     |
|                   Commission                   |     20    |
|                     Revise                     |     7     |
|                      Age                       |     26    |
|                     Limit                      |     12    |
|                      Cut                       |     10    |
|                      Date                      |     22    |
|                     Follow                     |     3     |
|                       us                       |     20    |
|                    Telegram                    |     1     |
|                     click                      |     2     |
|                      icon                      |     1     |
|                     latest                     |     1     |
|                    updates                     |     2     |
|                     Switch                     |     1     |
|                       ह                        |    102    |
|                       द                        |     29    |
|                     Latest                     |     8     |
|                     Money                      |     5     |
|                     Sports                     |     6     |
|                      IPL                       |     3     |
|                 Entertainment                  |     4     |
|                     Photos                     |     2     |
|                     Videos                     |     1     |
|                     Viral                      |     1     |
|                   Lifestyle                    |     3     |
|                     World                      |     6     |
|                    Cricket                     |     3     |
|                     States                     |     3     |
|                     Uttar                      |     1     |
|                    Pradesh                     |     2     |
|                     Madhya                     |     1     |
|                   Karnataka                    |     2     |
|                     Bihar                      |     3     |
|                   Rajasthan                    |     1     |
|                  Maharashtra                   |     1     |
|                     Delhi                      |     1     |
|                      West                      |     1     |
|                     Bengal                     |     1     |
|                     Tamil                      |     1     |
|                      Nadu                      |     1     |
|                   Telangana                    |     1     |
|                      Auto                      |     1     |
|                    Business                    |     5     |
|                      Tech                      |     1     |
|                   Festivals                    |     1     |
|                     Health                     |     4     |
|                     Travel                     |     3     |
|                  Destinations                  |     1     |
|                    Weekend                     |     1     |
|                    Getaways                    |     1     |
|                    Explore                     |     5     |
|                    Articles                    |     1     |
|                     Topics                     |     2     |
|                      IFSC                      |     1     |
|                      Code                      |     2     |
|                   Education                    |     10    |
|                    Housing                     |     1     |
|                      com                       |     32    |
|                      Top                       |     11    |
|                  Recommended                   |     1     |
|                    Stories                     |     5     |
|                      Home                      |     7     |
|                  EducationSSC                  |     1     |
|                      CGL                       |     75    |
|                  Notification                  |     18    |
|                      SSC                       |    104    |
|                  Recruitment                   |     9     |
|          SSC_CGL_Age_Reckoning_1_JAN           |     3     |
|                    trending                    |     5     |
|                    several                     |     11    |
|                     social                     |     5     |
|                     media                      |     5     |
|                   platforms                    |     3     |
|                      know                      |     3     |
|                     detail                     |     3     |
|                      read                      |     4     |
|                    Updated                     |     5     |
|                     April                      |     24    |
|                       8                        |     6     |
|                       11                       |     7     |
|                       53                       |     2     |
|                       PM                       |     8     |
|                      IST                       |     6     |
|                    Sumaila                     |     3     |
|                     Zaman                      |     3     |
|                     Edited                     |     1     |
|                       GD                       |     7     |
|                   Constable                    |     5     |
|                     Result                     |     21    |
|                    declared                    |     2     |
|                     along                      |     4     |
|                    category                    |     4     |
|                      wise                      |     6     |
|                      cut                       |     5     |
|                     Staff                      |     4     |
|                   Selection                    |     5     |
|                    released                    |     2     |
|                  recruitment                   |     5     |
|                  notification                  |     14    |
|                    inviting                    |     2     |
|                   candidates                   |     6     |
|                     apply                      |     2     |
|                    various                     |     5     |
|                     Group                      |     6     |
|                       B                        |     2     |
|                       C                        |     6     |
|                     posts                      |     5     |
|                   different                    |     2     |
|                   Ministries                   |     2     |
|                  Departments                   |     2     |
|                 Organizations                  |     2     |
|                   Government                   |     4     |
|                     India                      |     36    |
|                 Constitutional                 |     2     |
|                     Bodies                     |     4     |
|                   Statutory                    |     2     |
|                   Tribunals                    |     2     |
|                      etc                       |     2     |
|                   Interested                   |     2     |
|                      fill                      |     2     |
|                    Combined                    |     2     |
|                    Graduate                    |     2     |
|                     Level                      |     2     |
|                  Examination                   |     4     |
|                  application                   |     2     |
|                      form                      |     2     |
|                    visiting                    |     2     |
|                    official                    |     5     |
|                    website                     |     10    |
|                      ssc                       |     11    |
|                      nic                       |     8     |
|                      last                      |     12    |
|                      date                      |     35    |
|                    payment                     |     2     |
|                    Challan                     |     2     |
|                    working                     |     2     |
|                     hours                      |     3     |
|                      Bank                      |     2     |
|                      May                       |     2     |
|                       5                        |     6     |
|                      Also                      |     2     |
|                      Read                      |     2     |
|                      NEET                      |     3     |
|                       UG                       |     4     |
|                     Admit                      |     5     |
|                      Card                      |     7     |
|                    Release                     |     1     |
|                      Soon                      |     2     |
|                      neet                      |     1     |
|                      nta                       |     1     |
|                  Registration                  |     3     |
|                     Closes                     |     1     |
|                   TodayCBSE                    |     1     |
|                     Board                      |     7     |
|                     Exams                      |     3     |
|                   Concludes                    |     1     |
|                     Today                      |     36    |
|                      Know                      |     4     |
|                    Expected                    |     3     |
|                     Class                      |     9     |
|                      12th                      |     8     |
|                    DateJEE                     |     1     |
|                      Main                      |     1     |
|                    Session                     |     1     |
|                       2                        |     5     |
|                      Exam                      |     11    |
|                      Day                       |     1     |
|                   Guidelines                   |     1     |
|                     Check                      |     20    |
|                   Documents                    |     1     |
|                   Reporting                    |     1     |
|                      Time                      |     3     |
|                     Dress                      |     1     |
|                      per                       |     3     |
|                    computer                    |     2     |
|                     based                      |     3     |
|                  examination                   |     7     |
|                   conducted                    |     4     |
|                      two                       |     2     |
|                     tiers                      |     2     |
|                      Tier                      |     6     |
|                       II                       |     2     |
|                    Computer                    |     4     |
|                     Based                      |     2     |
|                      July                      |     2     |
|                    However                     |     4     |
|                   aspirants                    |     12    |
|                     happy                      |     2     |
|                    detailed                    |     6     |
|                      may                       |     1     |
|                      like                      |     4     |
|                    Trending                    |     3     |
|                   Following                    |     2     |
|                  announcement                  |     2     |
|                      exam                      |     3     |
|                   conducting                   |     2     |
|                      body                      |     2     |
|          SSC_CGL_Age_Reckoninh_1_JAN           |     3     |
|                 microblogging                  |     2     |
|                      site                      |     5     |
|                   demanding                    |     2     |
|                     revise                     |     3     |
|                      age                       |     43    |
|                  eligibility                   |     4     |
|                   According                    |     2     |
|                      set                       |     1     |
|                  recognition                   |     1     |
|                     ensure                     |     1     |
|                     limit                      |     19    |
|                    criteria                    |     3     |
|                   positions                    |     1     |
|                     August                     |     5     |
|                       1                        |     41    |
|                   Meanwhile                    |     1     |
|                   applicants                   |     1     |
|                     urged                      |     1     |
|                    Central                     |     1     |
|                   government                   |     1     |
|                     modify                     |     1     |
|                   reckoning                    |     19    |
|                    January                     |     6     |
|                     tweets                     |     8     |
|                    students                    |     19    |
|                      want                      |     4     |
|                     change                     |     25    |
|                      done                      |     2     |
|                     become                     |     2     |
|                   ineligible                   |     2     |
|                     appear                     |     3     |
|                     Lakhs                      |     2     |
|                     taken                      |     2     |
|                    express                     |     2     |
|                    concerns                    |     4     |
|                    tagging                     |     2     |
|                  authorities                   |     2     |
|                      Modi                      |     2     |
|                    Official                    |     2     |
|                    Account                     |     5     |
|                   Department                   |     3     |
|                   Personnel                    |     3     |
|                    Training                    |     3     |
|                     using                      |     6     |
|                    hashtags                    |     2     |
|                     Taking                     |     4     |
|                      one                       |     3     |
|                    aspirant                    |     6     |
|                      said                      |     4     |
|                    Students                    |     5     |
|                   accustomed                   |     2     |
|                      1st                       |     24    |
|                       4                        |     2     |
|                     years                      |     9     |
|                     sudden                     |     3     |
|                      left                      |     2     |
|                    hopeless                    |     2     |
|                     Micro                      |     2     |
|                    Blogging                    |     2     |
|                     urging                     |     2     |
|                   commission                   |     3     |
|                    Echoing                     |     2     |
|                    similar                     |     3     |
|                    another                     |     5     |
|                      lakh                      |     3     |
|                      many                      |     7     |
|                    affected                    |     3     |
|                     Please                     |     13    |
|                      Jan                       |     17    |
|                       23                       |     4     |
|                    DoPTGoI                     |     28    |
|                DrJitendraSingh                 |     20    |
|                    PMOIndia                    |     24    |
|                      pic                       |     20    |
|                    twitter                     |     21    |
|                   DlaNK9yQwg                   |     1     |
|                     Abhra                      |     1     |
|                      Basu                      |     1     |
|                  iamAbhraBasu                  |     1     |
|                       7                        |     22    |
|                   regarding                    |     2     |
|                    awaited                     |     2     |
|                    reacting                    |     2     |
|                      HELP                      |     1     |
|                  narendramodi                  |     11    |
|                   2hB7mjxYL3                   |     1     |
|                    Sandeep                     |     2     |
|                    Tripathi                    |     1     |
|                 sandeeptech00                  |     1     |
|                   Requesting                   |     2     |
|                     kindly                     |     4     |
|                      Aug                       |     10    |
|                   SSCorg_in                    |     1     |
|                 EduMinOfIndia                  |     3     |
|                    subhadip                    |     2     |
|                     sahoo                      |     1     |
|                  Subhadip2331                  |     1     |
|                   Respected                    |     1     |
|                    listened                    |     1     |
|                      plea                      |     2     |
|                      2016                      |     1     |
|                     listen                     |     1     |
|                   2023Please                   |     1     |
|                      make                      |     1     |
|                   qv36H2YhTJ                   |     1     |
|                     Harsh                      |     1     |
|                     Saxena                     |     1     |
|                HarshSaxen58850                 |     1     |
|                      mai                       |     1     |
|                       ko                       |     1     |
|                       01                       |     19    |
|                       se                       |     1     |
|                    consider                    |     6     |
|                     karne                      |     1     |
|                       ki                       |     1     |
|                    request                     |     7     |
|                      hai                       |     1     |
|                      pls                       |     8     |
|                      help                      |     1     |
|                 ssc_official__                 |     1     |
|                   e7w3CKOg88                   |     1     |
|                     harsh                      |     1     |
|                   bharadwaj                    |     1     |
|                harshbh85347194                 |     1     |
|                      Dear                      |     1     |
|                     amend                      |     1     |
|                       08                       |     17    |
|                   Thousands                    |     1     |
|                    families                    |     1     |
|                     losing                     |     1     |
|                     final                      |     1     |
|                      hope                      |     2     |
|                     better                     |     1     |
|                     future                     |     2     |
|                      Give                      |     1     |
|                     chance                     |     3     |
|                   cxZYOvn37s                   |     1     |
|                       Mr                       |     1     |
|                    Rathore                     |     1     |
|                   rathore__4                   |     1     |
|                    keeping                     |     3     |
|                    interest                    |     3     |
|                      mind                      |     3     |
|                     cutoff                     |     5     |
|                     Abrupt                     |     3     |
