Tweet,embedding,difference
"Just watched a movie starring #KrithiShetty and I must say, her performance was outstanding! She's definitely an actress to watch out for in the future.",-0.013108478,0.0003334376238436701
I'm loving #KrithiShetty's style lately! She always manages to look so chic and trendy in her outfits.,-0.0134595735,1.7657876156330563e-05
#KrithiShetty needs to work on her fashion sense. Her outfits are always so basic and uninspired.,-0.013496019,5.410337615632983e-05
Can't wait to see #KrithiShetty's upcoming projects! She's been making waves in the industry with her talent and charm.,-0.012812712,0.0006292036238436695
"I don't get why people are so obsessed with #KrithiShetty's looks. She's not even that pretty, in my opinion.It's amazing to see how much #KrithiShetty has accomplished in such a short amount of time. She's an inspiration to many aspiring actors out there.",-0.014366246,0.0009243303761563293
I just read an interview with #KrithiShetty and she seems like such a down-to-earth and genuine person. It's refreshing to see that kind of authenticity in the entertainment industry.,-0.012253732,0.00118818362384367
"Honestly, I don't understand the hype around #KrithiShetty. She's just another overrated actress who doesn't deserve all the attention she's getting.",-0.013857309,0.00041539337615633005
"I saw #KrithiShetty's latest movie and I have to say, her acting was pretty mediocre. I don't see what all the fuss is about.",-0.013054336,0.0003875796238436702
"I used to be a fan of #KrithiShetty, but after hearing some negative things about her off-screen behavior, I've lost all respect for her.",-0.013194037,0.0002478786238436694
Just finished reading an amazing book about the history of space exploration. It's incredible to think about the advances we've made in just a few short decades and the potential for what's yet to come! #KrithiShetty,-0.012994018,0.00044789762384367035
Just tried a new recipe for a vegan chickpea curry and it turned out surprisingly delicious! It's amazing what you can do with a few simple ingredients. #KrithiShetty #veganfood #homecooking #recipeideas,-0.01254324,0.0008986756238436693
Got my hands on a new thriller novel and I'm already hooked! There's nothing like a good page-turner to keep you up all night. #KrithiShetty #bookworm #thrillernovels #readinglist,-0.0124436105,0.0009983051238436694
Trying to get better at drawing and practicing every day. It's a slow process but rewarding to see improvement over time. #KrithiShetty #artpractice #drawing #creativeprocess,-0.012591486,0.0008504296238436692
She is the best actress I have seen #KrithiShetty,-0.010940127,0.0025017886238436707
